frequent-itemSets,	support
{'citrus fruit', 'margarine'},	0.007930859176410779
{'yogurt', 'tropical fruit'},	0.029283172343670564
{'yogurt', 'coffee'},	0.009761057447890189
{'coffee', 'tropical fruit'},	0.0071174377224199285
{'pip fruit', 'yogurt'},	0.017996949669547534
{'pip fruit', 'cream cheese '},	0.006100660904931368
{'yogurt', 'cream cheese '},	0.012404677173360447
{'long life bakery product', 'other vegetables'},	0.010676156583629894
{'long life bakery product', 'whole milk'},	0.013523131672597865
{'whole milk', 'other vegetables'},	0.07483477376715811
{'yogurt', 'butter'},	0.014641586171835282
{'whole milk', 'yogurt'},	0.05602440264361973
{'whole milk', 'butter'},	0.02755465175394001
{'bottled beer', 'other vegetables'},	0.016166751398068124
{'UHT-milk', 'other vegetables'},	0.00813421453990849
{'rolls/buns', 'bottled beer'},	0.01362480935434672
{'rolls/buns', 'UHT-milk'},	0.006405693950177936
{'rolls/buns', 'other vegetables'},	0.042602948652770714
{'other vegetables', 'tropical fruit'},	0.035892221657346214
{'white bread', 'tropical fruit'},	0.008744280630401627
{'bottled water', 'chocolate'},	0.005795627859684799
{'chocolate', 'tropical fruit'},	0.00813421453990849
{'white bread', 'other vegetables'},	0.013726487036095577
{'chocolate', 'other vegetables'},	0.012709710218607015
{'bottled water', 'other vegetables'},	0.024809354346720894
{'bottled water', 'tropical fruit'},	0.018505338078291814
{'curd', 'tropical fruit'},	0.010269445856634469
{'bottled water', 'butter'},	0.008947635993899338
{'curd', 'butter'},	0.00681240467717336
{'whole milk', 'bottled water'},	0.03436705643111337
{'butter', 'tropical fruit'},	0.0099644128113879
{'curd', 'whole milk'},	0.026131164209456024
{'citrus fruit', 'butter'},	0.009150991357397052
{'curd', 'yogurt'},	0.01728520589730554
{'citrus fruit', 'bottled water'},	0.013523131672597865
{'citrus fruit', 'tropical fruit'},	0.0199288256227758
{'curd', 'bottled water'},	0.006100660904931368
{'bottled water', 'yogurt'},	0.022979156075241484
{'flour', 'whole milk'},	0.008439247585155059
{'citrus fruit', 'whole milk'},	0.030503304524656837
{'whole milk', 'dishes'},	0.0052872394509405184
{'citrus fruit', 'curd'},	0.0071174377224199285
{'whole milk', 'tropical fruit'},	0.04229791560752415
{'citrus fruit', 'yogurt'},	0.021657346212506354
{'rolls/buns', 'soda'},	0.03833248601931876
{'frankfurter', 'rolls/buns'},	0.019217081850533807
{'frankfurter', 'soda'},	0.01128622267412303
{'chicken', 'tropical fruit'},	0.006405693950177936
{'butter', 'fruit/vegetable juice'},	0.008032536858159633
{'newspapers', 'fruit/vegetable juice'},	0.008235892221657347
{'newspapers', 'butter'},	0.005795627859684799
{'tropical fruit', 'cream cheese '},	0.007219115404168785
{'newspapers', 'tropical fruit'},	0.01179461108286731
{'rolls/buns', 'root vegetables'},	0.024300965937976614
{'other vegetables', 'salty snack'},	0.010777834265378749
{'other vegetables', 'root vegetables'},	0.047381799694966954
{'waffles', 'tropical fruit'},	0.006100660904931368
{'rolls/buns', 'waffles'},	0.009150991357397052
{'candy', 'rolls/buns'},	0.0071174377224199285
{'other vegetables', 'waffles'},	0.010066090493136757
{'root vegetables', 'tropical fruit'},	0.021047280122013217
{'candy', 'tropical fruit'},	0.005388917132689374
{'rolls/buns', 'tropical fruit'},	0.024605998983223184
{'flour', 'other vegetables'},	0.00630401626842908
{'tropical fruit', 'salty snack'},	0.005592272496187087
{'root vegetables', 'waffles'},	0.0066090493136756485
{'candy', 'other vegetables'},	0.006914082358922217
{'bottled water', 'canned beer'},	0.008032536858159633
{'sausage', 'chocolate'},	0.0066090493136756485
{'soda', 'chocolate'},	0.013523131672597865
{'rolls/buns', 'sausage'},	0.030604982206405694
{'sausage', 'soda'},	0.024300965937976614
{'rolls/buns', 'chocolate'},	0.01179461108286731
{'soda', 'newspapers'},	0.014641586171835282
{'shopping bags', 'brown bread'},	0.009252669039145907
{'soda', 'brown bread'},	0.01260803253685816
{'newspapers', 'brown bread'},	0.007625826131164209
{'shopping bags', 'newspapers'},	0.006914082358922217
{'soda', 'canned beer'},	0.013828164717844434
{'soda', 'shopping bags'},	0.024605998983223184
{'shopping bags', 'canned beer'},	0.011387900355871887
{'brown bread', 'fruit/vegetable juice'},	0.008337569903406202
{'soda', 'fruit/vegetable juice'},	0.01840366039654296
{'shopping bags', 'fruit/vegetable juice'},	0.010676156583629894
{'beverages', 'yogurt'},	0.005490594814438231
{'rolls/buns', 'bottled water'},	0.024199288256227757
{'bottled water', 'napkins'},	0.00864260294865277
{'hamburger meat', 'other vegetables'},	0.013828164717844434
{'rolls/buns', 'hygiene articles'},	0.005897305541433655
{'rolls/buns', 'napkins'},	0.011692933401118455
{'hygiene articles', 'other vegetables'},	0.009557702084392475
{'bottled water', 'hygiene articles'},	0.0056939501779359435
{'other vegetables', 'napkins'},	0.01443823080833757
{'hygiene articles', 'napkins'},	0.006100660904931368
{'rolls/buns', 'hamburger meat'},	0.00864260294865277
{'other vegetables', 'sugar'},	0.010777834265378749
{'whole milk', 'sugar'},	0.015048296898830707
{'whole milk', 'beverages'},	0.00681240467717336
{'root vegetables', 'sugar'},	0.006405693950177936
{'beverages', 'other vegetables'},	0.005185561769191663
{'whole milk', 'root vegetables'},	0.048906964921199794
{'soda', 'berries'},	0.007320793085917641
{'soda', 'other vegetables'},	0.032740213523131674
{'whole milk', 'berries'},	0.01179461108286731
{'other vegetables', 'pork'},	0.021657346212506354
{'soda', 'pork'},	0.011896288764616167
{'berries', 'other vegetables'},	0.010269445856634469
{'whipped/sour cream', 'berries'},	0.009049313675648195
{'whipped/sour cream', 'pork'},	0.008235892221657347
{'soda', 'whipped/sour cream'},	0.011591255719369599
{'whole milk', 'whipped/sour cream'},	0.032231825114387394
{'whipped/sour cream', 'other vegetables'},	0.02887646161667514
{'soda', 'whole milk'},	0.040061006609049314
{'whole milk', 'pork'},	0.022165734621250637
{'pastry', 'soda'},	0.021047280122013217
{'dessert', 'other vegetables'},	0.011591255719369599
{'dessert', 'root vegetables'},	0.005795627859684799
{'whole milk', 'dessert'},	0.013726487036095577
{'citrus fruit', 'newspapers'},	0.008337569903406202
{'specialty bar', 'soda'},	0.007219115404168785
{'rolls/buns', 'canned beer'},	0.01128622267412303
{'rolls/buns', 'shopping bags'},	0.019522114895780377
{'rolls/buns', 'specialty bar'},	0.005592272496187087
{'sausage', 'shopping bags'},	0.015658362989323844
{'sausage', 'canned beer'},	0.00630401626842908
{'brown bread', 'tropical fruit'},	0.010676156583629894
{'yogurt', 'waffles'},	0.0075241484494153535
{'pastry', 'domestic eggs'},	0.009049313675648195
{'whole milk', 'brown bread'},	0.02521606507371632
{'whole milk', 'waffles'},	0.012709710218607015
{'soda', 'coffee'},	0.0099644128113879
{'pastry', 'yogurt'},	0.017691916624300967
{'yogurt', 'brown bread'},	0.014539908490086425
{'pastry', 'root vegetables'},	0.010981189628876462
{'pastry', 'waffles'},	0.007015760040671073
{'soda', 'domestic eggs'},	0.012404677173360447
{'domestic eggs', 'root vegetables'},	0.014336553126588714
{'domestic eggs', 'yogurt'},	0.014336553126588714
{'soda', 'tropical fruit'},	0.020843924758515507
{'pastry', 'sugar'},	0.005185561769191663
{'soda', 'waffles'},	0.009557702084392475
{'soda', 'yogurt'},	0.027351296390442297
{'candy', 'yogurt'},	0.005490594814438231
{'whole milk', 'domestic eggs'},	0.029994916115912557
{'root vegetables', 'brown bread'},	0.010167768174885612
{'domestic eggs', 'brown bread'},	0.00681240467717336
{'yogurt', 'sugar'},	0.006914082358922217
{'pastry', 'brown bread'},	0.009659379766141332
{'whole milk', 'coffee'},	0.018708693441789527
{'root vegetables', 'coffee'},	0.007320793085917641
{'yogurt', 'root vegetables'},	0.025826131164209457
{'candy', 'soda'},	0.00864260294865277
{'soda', 'root vegetables'},	0.01860701576004067
{'pastry', 'whole milk'},	0.033248601931875954
{'candy', 'whole milk'},	0.008235892221657347
{'domestic eggs', 'tropical fruit'},	0.011387900355871887
{'pastry', 'coffee'},	0.006914082358922217
{'pastry', 'tropical fruit'},	0.013218098627351297
{'soda', 'sugar'},	0.007320793085917641
{'yogurt', 'berries'},	0.010574478901881037
{'soda', 'bottled water'},	0.028978139298423997
{'rolls/buns', 'yogurt'},	0.03436705643111337
{'rolls/buns', 'cream cheese '},	0.0099644128113879
{'rolls/buns', 'butter milk'},	0.007625826131164209
{'yogurt', 'butter milk'},	0.008540925266903915
{'soda', 'cream cheese '},	0.00681240467717336
{'bottled water', 'cream cheese '},	0.005897305541433655
{'rolls/buns', 'newspapers'},	0.019725470259278087
{'newspapers', 'yogurt'},	0.015353329944077275
{'bottled water', 'newspapers'},	0.01128622267412303
{'pastry', 'bottled water'},	0.008947635993899338
{'butter', 'root vegetables'},	0.012913065582104729
{'bottled water', 'whipped/sour cream'},	0.008744280630401627
{'rolls/buns', 'whipped/sour cream'},	0.014641586171835282
{'rolls/buns', 'butter'},	0.013421453990849009
{'UHT-milk', 'bottled water'},	0.007320793085917641
{'rolls/buns', 'long life bakery product'},	0.007930859176410779
{'curd', 'root vegetables'},	0.010879511947127605
{'whipped/sour cream', 'root vegetables'},	0.01708185053380783
{'root vegetables', 'hard cheese'},	0.005592272496187087
{'whipped/sour cream', 'butter'},	0.010167768174885612
{'long life bakery product', 'whipped/sour cream'},	0.005795627859684799
{'curd', 'whipped/sour cream'},	0.01047280122013218
{'rolls/buns', 'hard cheese'},	0.005897305541433655
{'curd', 'other vegetables'},	0.017183528215556684
{'long life bakery product', 'root vegetables'},	0.0052872394509405184
{'bottled water', 'root vegetables'},	0.015658362989323844
{'other vegetables', 'hard cheese'},	0.00945602440264362
{'curd', 'rolls/buns'},	0.010066090493136757
{'other vegetables', 'butter'},	0.020030503304524657
{'sausage', 'newspapers'},	0.008032536858159633
{'ham', 'other vegetables'},	0.009150991357397052
{'whole milk', 'ham'},	0.011489578037620742
{'whole milk', 'grapes'},	0.007320793085917641
{'grapes', 'other vegetables'},	0.009049313675648195
{'baking powder', 'other vegetables'},	0.007320793085917641
{'curd', 'margarine'},	0.00630401626842908
{'fruit/vegetable juice', 'tropical fruit'},	0.013726487036095577
{'domestic eggs', 'other vegetables'},	0.02226741230299949
{'brown bread', 'margarine'},	0.006507371631926792
{'margarine', 'fruit/vegetable juice'},	0.0062023385866802234
{'margarine', 'tropical fruit'},	0.009354346720894764
{'domestic eggs', 'margarine'},	0.008337569903406202
{'curd', 'domestic eggs'},	0.006507371631926792
{'other vegetables', 'brown bread'},	0.018708693441789527
{'other vegetables', 'margarine'},	0.019725470259278087
{'semi-finished bread', 'other vegetables'},	0.005185561769191663
{'domestic eggs', 'fruit/vegetable juice'},	0.008032536858159633
{'other vegetables', 'fruit/vegetable juice'},	0.021047280122013217
{'whole milk', 'processed cheese'},	0.007015760040671073
{'soda', 'processed cheese'},	0.0052872394509405184
{'whole milk', 'pickled vegetables'},	0.0071174377224199285
{'pastry', 'curd'},	0.0075241484494153535
{'rolls/buns', 'oil'},	0.005083884087442806
{'beef', 'whipped/sour cream'},	0.006710726995424504
{'rolls/buns', 'ham'},	0.006914082358922217
{'beef', 'rolls/buns'},	0.01362480935434672
{'pastry', 'rolls/buns'},	0.02094560244026436
{'rolls/buns', 'sugar'},	0.007015760040671073
{'frozen vegetables', 'other vegetables'},	0.017793594306049824
{'frozen vegetables', 'whole milk'},	0.02043721403152008
{'detergent', 'other vegetables'},	0.006405693950177936
{'whole milk', 'salty snack'},	0.011184544992374174
{'canned fish', 'other vegetables'},	0.005083884087442806
{'detergent', 'whole milk'},	0.008947635993899338
{'pastry', 'sausage'},	0.012506354855109304
{'beef', 'sausage'},	0.005592272496187087
{'sausage', 'whole milk'},	0.0298932384341637
{'beef', 'whole milk'},	0.02125063548551093
{'rolls/buns', 'brown bread'},	0.01260803253685816
{'frankfurter', 'brown bread'},	0.0071174377224199285
{'frankfurter', 'tropical fruit'},	0.00945602440264362
{'curd', 'sausage'},	0.007625826131164209
{'rolls/buns', 'pip fruit'},	0.013929842399593289
{'whole milk', 'pip fruit'},	0.030096593797661414
{'pip fruit', 'chocolate'},	0.006100660904931368
